drug_name,side_effects,generic_name
Benzac,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Benzac AC,"Benzac AC can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
Benzac AC Wash,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide Wash and Cleanser
Benzac W,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide Wash and Cleanser
Benzagel,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Benzagel Wash,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Benzamycin Pak,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",erythromycin and benzoyl peroxide (topical route)
Benzashave,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
BenzEFoam Ultra,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
BenzePro,"BenzePro can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
Benziq,"Benziq can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
benzoyl peroxide / hydrocortisone,"Stop using this medicine and get emergency medical help if you have signs of a serious allergic reaction or severe skin irritation : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and hydrocortisone topical
benzoyl peroxide / salicylic acid,"Benzoyl peroxide and salicylic acid topical can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have any of these signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Benzoyl peroxide and salicylic acid topical may cause serious side effects. Stop using benzoyl peroxide and salicylic acid topical and call ",benzoyl peroxide and salicylic acid (topical)
benzoyl peroxide / tretinoin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Benzoyl peroxide and tretinoin topical may cause serious side effects. Call ",benzoyl peroxide and tretinoin topical
Binora,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
BP 10-Wash,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
BPO Gel,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
BP Wash,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide Wash and Cleanser
Brevoxyl,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Brevoxyl Acne Wash Kit,"Brevoxyl Acne Wash Kit can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
CeraVe SA Renewing,"CeraVe SA Renewing can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using CeraVe SA Renewing and call ",salicylic acid topical
Clarifoam EF,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Sulfacetamide Foam
clascoterone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clascoterone topical may cause serious side effects. Call ",clascoterone topical
Cleanse & Treat,"Cleanse & Treat can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have any of these signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using Cleanse & Treat and call ",benzoyl peroxide and salicylic acid (topical)
